번호,과목,파트
1,해부생리,뼈
2,해부생리,근육
3,전기치료,중주파
4,보조기,보조기
5,의료법규,의료기사법
6,공중보건,감염병
7,심폐물리,심전도
8,보조기,보조기
9,해부생리,면역학
10,수치료,수중치료
11,해부생리,뼈
12,해부생리,근육
13,전기치료,중주파
14,보조기,보조기
15,의료법규,의료기사법
16,공중보건,감염병
17,심폐물리,심전도
18,보조기,보조기
19,해부생리,면역학
20,수치료,수중치료
21,해부생리,뼈
22,해부생리,근육
23,전기치료,중주파
24,보조기,보조기
25,의료법규,의료기사법
26,공중보건,감염병
27,심폐물리,심전도
28,보조기,보조기
29,해부생리,면역학
30,수치료,수중치료
31,해부생리,뼈
32,해부생리,근육
33,전기치료,중주파
34,보조기,보조기
35,의료법규,의료기사법
36,공중보건,감염병
37,심폐물리,심전도
38,보조기,보조기
39,해부생리,면역학
40,수치료,수중치료
41,해부생리,뼈
42,해부생리,근육
43,전기치료,중주파
44,보조기,보조기
45,의료법규,의료기사법
46,공중보건,감염병
47,심폐물리,심전도
48,보조기,보조기
49,해부생리,면역학
50,수치료,수중치료
51,해부생리,뼈
52,해부생리,근육
53,전기치료,중주파
54,보조기,보조기
55,의료법규,의료기사법
56,공중보건,감염병
57,심폐물리,심전도
58,보조기,보조기
59,해부생리,면역학
60,수치료,수중치료
61,해부생리,뼈
62,해부생리,근육
63,전기치료,중주파
64,보조기,보조기
65,의료법규,의료기사법
66,공중보건,감염병
67,심폐물리,심전도
68,보조기,보조기
69,해부생리,면역학
70,수치료,수중치료
71,해부생리,뼈
72,해부생리,근육
73,전기치료,중주파
74,보조기,보조기
75,의료법규,의료기사법
76,공중보건,감염병
77,심폐물리,심전도
78,보조기,보조기
79,해부생리,면역학
80,수치료,수중치료
81,해부생리,뼈
82,해부생리,근육
83,전기치료,중주파
84,보조기,보조기
85,의료법규,의료기사법
86,공중보건,감염병
87,심폐물리,심전도
88,보조기,보조기
89,해부생리,면역학
90,수치료,수중치료
91,해부생리,뼈
92,해부생리,근육
93,전기치료,중주파
94,보조기,보조기
95,의료법규,의료기사법
96,공중보건,감염병
97,심폐물리,심전도
98,보조기,보조기
99,해부생리,면역학
100,수치료,수중치료
101,해부생리,뼈
102,해부생리,근육
103,전기치료,중주파
104,보조기,보조기
105,의료법규,의료기사법
